bank_txn_id,transaction_date,currency,amount,transaction_ref,description
BTX0001,2026-08-23,INR,909,TXN0001,Settlement for ORD0001
BTX0002,2026-08-26,INR,4512,TXN0002,Settlement for ORD0002
BTX0003,2026-08-10,INR,2179,TXN0003,Settlement for ORD0003
BTX0004,2026-08-24,INR,1924,TXN0004,Settlement for ORD0004
BTX0005,2026-08-21,INR,1020,TXN0005,Settlement for ORD0005
BTX0006,2026-08-03,INR,4082,TXN0006,Settlement for ORD0006
BTX0007,2026-08-10,INR,934,TXN0007,Settlement for ORD0007
BTX0008,2026-08-20,INR,9428,TXN0008,Settlement for ORD0008
BTX0009,2026-08-16,INR,7859,TXN0009,Settlement for ORD0009
BTX0010,2026-08-21,INR,606,TXN0010,Settlement for ORD0010
