chain_id,payment_id,order_id,payment_method,upi_ref,amount,currency,payment_date,status
CHAIN000001,PAY0001,ORD0001,NETBANKING,,909,INR,2026-08-24,SUCCESS
CHAIN000002,PAY0002,ORD0002,CARD,,4512,INR,2026-08-08,SUCCESS
CHAIN000003,PAY0003,ORD0003,UPI,UPI/RZP/422938152332,2179,INR,2026-08-22,SUCCESS
CHAIN000004,PAY0004,ORD0004,UPI,UPI/RZP/164290117190,1924,INR,2026-08-19,SUCCESS
CHAIN000005,PAY0005,ORD0005,NETBANKING,,1020,INR,2026-08-01,SUCCESS
CHAIN000006,PAY0006,ORD0006,NETBANKING,,4082,INR,2026-08-08,SUCCESS
CHAIN000007,PAY0007,ORD0007,NETBANKING,,934,INR,2026-08-18,SUCCESS
CHAIN000008,PAY0008,ORD0008,UPI,UPI/RZP/446809914267,9428,INR,2026-08-14,SUCCESS
CHAIN000009,PAY0009,ORD0009,UPI,UPI/RZP/740165486786,7859,INR,2026-08-19,SUCCESS
CHAIN000010,PAY0010,ORD0010,CARD,,606,INR,2026-08-25,SUCCESS
CHAIN000011,PAY0011,ORD0011,NETBANKING,,7424,INR,2026-08-11,SUCCESS
CHAIN000012,PAY0012,ORD0012,NETBANKING,,3047,INR,2026-08-07,SUCCESS
CHAIN000013,PAY0013,ORD0013,UPI,UPI/RZP/188080452706,2174,INR,2026-08-03,SUCCESS
CHAIN000014,PAY0014,ORD0014,UPI,UPI/RZP/753129325865,2084,INR,2026-08-12,SUCCESS
CHAIN000015,PAY0015,ORD0015,UPI,UPI/RZP/543391824534,4833,INR,2026-08-26,SUCCESS
CHAIN000016,PAY0016,ORD0016,UPI,UPI/RZP/373029676920,8027,INR,2026-08-18,SUCCESS
CHAIN000017,PAY0017,ORD0017,NETBANKING,,6701,INR,2026-08-03,SUCCESS
CHAIN000018,PAY0018,ORD0018,NETBANKING,,5303,INR,2026-08-27,SUCCESS
CHAIN000019,PAY0019,ORD0019,UPI,UPI/RZP/188559569253,6425,INR,2026-08-19,SUCCESS
CHAIN000020,PAY0020,ORD0020,CARD,,1639,INR,2026-08-02,SUCCESS
CHAIN000021,PAY0021,ORD0021,NETBANKING,,5241,INR,2026-08-03,SUCCESS
CHAIN000022,PAY0022,ORD0022,NETBANKING,,2154,INR,2026-08-13,SUCCESS
