chain_id,settlement_id,payment_id,gross_amount,platform_fee,gst_on_fee,net_amount,settlement_date,settlement_reference
CHAIN000001,SET0001,PAY0001,909,9.09,1.64,898.27,2026-08-26,SETTXN0001
CHAIN000002,SET0002,PAY0002,4512,45.12,8.12,4458.76,2026-08-13,SETTXN0002
CHAIN000003,SET0003,PAY0003,2179,21.79,3.92,2153.29,2026-08-24,SETTXN0003
CHAIN000004,SET0004,PAY0004,1924,19.24,3.46,1901.30,2026-08-21,SETTXN0004
CHAIN000005,SET0005,PAY0005,1020,10.20,1.84,1007.96,2026-08-03,SETTXN0005
CHAIN000006,SET0006,PAY0006,4082,40.82,7.35,4033.83,2026-08-10,SETTXN0006
CHAIN000007,SET0007,PAY0007,934,9.34,1.68,922.98,2026-08-20,SETTXN0007
CHAIN000008,SET0008,PAY0008,9428,94.28,16.97,9316.75,2026-08-16,SETTXN0008
CHAIN000009,SET0009,PAY0009,7859,78.59,14.15,7766.26,2026-08-21,SETTXN0009
CHAIN000010,SET0010,PAY0010,606,6.06,1.09,598.85,2026-08-30,SETTXN0010
CHAIN000011,SET0011,PAY0011,7424,74.24,13.36,7336.40,2026-08-13,SETTXN0011
CHAIN000012,SET0012,PAY0012,3047,30.47,5.48,3011.05,2026-08-09,SETTXN0012
CHAIN000013,SET0013,PAY0013,2174,21.74,3.91,2148.35,2026-08-05,SETTXN0013
CHAIN000014,SET0014,PAY0014,2084,20.84,3.75,2059.41,2026-08-14,SETTXN0014
CHAIN000015,SET0015,PAY0015,4833,48.33,8.70,4775.97,2026-08-28,SETTXN0015
CHAIN000016,SET0016,PAY0016,8027,80.27,14.45,7932.28,2026-08-23,SETTXN0016
CHAIN000017,SET0017,PAY0017,6701,67.01,12.06,6621.93,2026-08-05,SETTXN0017
CHAIN000018,SET0018,PAY0018,5303,53.03,9.55,5240.42,2026-08-29,SETTXN0018
CHAIN000019,SET0019,PAY0019,6425,64.25,11.57,6349.18,2026-08-21,SETTXN0019
CHAIN000020,SET0020,PAY0020,1639,16.39,2.95,1619.66,2026-08-04,SETTXN0020
CHAIN000021,SET0021,PAY0021,5241,52.41,9.43,5179.16,2026-08-05,SETTXN0021
CHAIN000022,SET0022,PAY0022,2154,21.54,3.88,2128.58,2026-08-15,SETTXN0022
CHAIN000023,SET0023,PAY0023,7928,79.28,14.27,7834.45,2026-08-23,SETTXN0023
CHAIN000024,SET0024,PAY0024,3164,31.64,5.70,3126.66,2026-08-14,SETTXN0024
CHAIN000025,SET0025,PAY0025,3932,39.32,7.08,3885.60,2026-08-24,SETTXN0025
CHAIN000026,SET0026,PAY0026,1669,16.69,3.00,1649.31,2026-08-22,SETTXN0026
CHAIN000027,SET0027,PAY0027,9251,92.51,16.65,4570.92,2026-08-26,SETTXN0027
CHAIN000028,SET0028,PAY0028,3177,31.77,5.72,3139.51,2026-08-17,SETTXN0028
CHAIN000029,SET0029,PAY0029,4922,49.22,8.86,4863.92,2026-09-01,SETTXN0029
CHAIN000030,SET0030,PAY0030,4098,40.98,7.38,4049.64,2026-08-24,SETTXN0030
CHAIN000031,SET0031,PAY0031,1416,14.16,2.55,1399.29,2026-08-10,SETTXN0031
CHAIN000032,SET0032,PAY0032,5668,56.68,10.20,5601.12,2026-08-15,SETTXN0032
CHAIN000033,SET0033,PAY0033,1584,15.84,2.85,1565.31,2026-08-09,SETTXN0033
CHAIN000034,SET0034,PAY0034,5655,56.55,10.18,5588.27,2026-08-09,SETTXN0034
CHAIN000035,SET0035,PAY0035,6982,69.82,12.57,6899.61,2026-08-31,SETTXN0035
CHAIN000036,SET0036,PAY0036,2840,28.40,5.11,2806.49,2026-08-11,SETTXN0036
CHAIN000037,SET0037,PAY0037,4540,45.40,8.17,4486.43,2026-08-26,SETTXN0037
CHAIN000038,SET0038,PAY0038,9330,93.30,16.79,9219.91,2026-08-11,SETTXN0038
CHAIN000039,SET0039,PAY0039,7519,75.19,13.53,7430.28,2026-08-31,SETTXN0039
CHAIN000040,SET0040,PAY0040,7043,70.43,12.68,6959.89,2026-08-14,SETTXN0040
CHAIN000041,SET0041,PAY0041,2766,27.66,4.98,2733.36,2026-08-19,SETTXN0041
CHAIN000042,SET0042,PAY0042,1989,19.89,3.58,1965.53,2026-08-30,SETTXN0042
CHAIN000043,SET0043,PAY0043,2296,22.96,4.13,2268.91,2026-08-10,SETTXN0043
CHAIN000044,SET0044,PAY0044,7416,74.16,13.35,7328.49,2026-08-22,SETTXN0044
CHAIN000045,SET0045,PAY0045,6804,68.04,12.25,6723.71,2026-08-15,SETTXN0045
CHAIN000046,SET0046,PAY0046,8168,81.68,14.70,8071.62,2026-08-19,SETTXN0046
CHAIN000047,SET0047,PAY0047,9564,95.64,17.22,9451.14,2026-08-30,SETTXN0047
CHAIN000048,SET0048,PAY0048,2376,23.76,4.28,2347.96,2026-08-24,SETTXN0048
CHAIN000049,SET0049,PAY0049,4871,48.71,8.77,4813.52,2026-08-27,SETTXN0049
CHAIN000050,SET0050,PAY0050,2327,23.27,4.19,2299.54,2026-08-12,SETTXN0050X
CHAIN000051,SET0051,PAY0051,3091,30.91,5.56,3054.53,2026-08-20,SETTXN0051
CHAIN000052,SET0052,PAY0052,4815,48.15,8.67,4758.18,2026-08-19,SETTXN0052
CHAIN000053,SET0053,PAY0053,8817,88.17,15.87,8712.96,2026-09-01,SETTXN0053
CHAIN000054,SET0054,PAY0054,5389,53.89,9.70,5325.41,2026-08-29,SETTXN0054
CHAIN000055,SET0055,PAY0055,3758,37.58,6.76,3713.66,2026-08-07,SETTXN0055
CHAIN000056,SET0056,PAY0056,3146,31.46,5.66,3108.88,2026-08-20,SETTXN0056
CHAIN000057,SET0057,PAY0057,509,5.09,0.92,502.99,2026-08-22,SETTXN0057
CHAIN000058,SET0058,PAY0058,8505,85.05,15.31,8404.64,2026-08-03,SETTXN0058
CHAIN000059,SET0059,PAY0059,6447,64.47,11.60,6370.93,2026-08-31,SETTXN0059
CHAIN000060,SET0060,PAY0060,4423,44.23,7.96,4370.81,2026-08-04,SETTXN0060
CHAIN000061,SET0061,PAY0061,9795,97.95,17.63,9679.42,2026-08-05,SETTXN0061
CHAIN000062,SET0062,PAY0062,8462,84.62,15.23,8362.15,2026-08-29,SETTXN0062
CHAIN000063,SET0063,PAY0063,9227,92.27,16.61,9118.12,2026-08-27,SETTXN0063
CHAIN000064,SET0064,PAY0064,2603,26.03,4.69,2572.28,2026-08-24,SETTXN0064
CHAIN000065,SET0065,PAY0065,9507,95.07,17.11,9394.82,2026-08-08,SETTXN0065
CHAIN000066,SET0066,PAY0066,9145,91.45,16.46,9037.09,2026-09-02,SETTXN0066
CHAIN000067,SET0067,PAY0067,7432,74.32,13.38,7344.30,2026-08-09,SETTXN0067
CHAIN000068,SET0068,PAY0068,3795,37.95,6.83,3750.22,2026-08-25,SETTXN0068
CHAIN000069,SET0069,PAY0069,7037,70.37,12.67,6953.96,2026-08-24,SETTXN0069
CHAIN000070,SET0070,PAY0070,7677,76.77,13.82,7586.41,2026-08-31,SETTXN0070
CHAIN000071,SET0071,PAY0071,7897,78.97,14.21,7803.82,2026-08-09,SETTXN0071
CHAIN000072,SET0072,PAY0072,4181,41.81,7.53,4131.66,2026-08-05,SETTXN0072
CHAIN000073,SET0073,PAY0073,844,8.44,1.52,834.04,2026-08-21,SETTXN0073
CHAIN000074,SET0074,PAY0074,4270,42.70,7.69,4219.61,2026-08-21,SETTXN0074
CHAIN000075,SET0075,PAY0075,617,6.17,1.11,609.72,2026-08-05,SETTXN0075
CHAIN000076,SET0076,PAY0076,4250,42.50,7.65,4199.85,2026-08-05,SETTXN0076
CHAIN000077,SET0077,PAY0077,5913,59.13,10.64,5843.23,2026-08-05,SETTXN0077
CHAIN000078,SET0078,PAY0078,4399,43.99,7.92,4347.09,2026-08-11,SETTXN0078
CHAIN000079,SET0079,PAY0079,4010,40.10,7.22,3962.68,2026-08-23,SETTXN0079
CHAIN000080,SET0080,PAY0080,9855,98.55,17.74,9738.71,2026-08-21,SETTXN0080
CHAIN000081,SET0081,PAY0081,4481,44.81,8.07,4428.12,2026-08-28,SETTXN0081X
CHAIN000082,SET0082,PAY0082,7169,71.69,12.90,7084.41,2026-08-09,SETTXN0082
CHAIN000083,SET0083,PAY0083,2088,20.88,3.76,2063.36,2026-08-24,SETTXN0083
CHAIN000084,SET0084,PAY0084,6304,63.04,11.35,3114.80,2026-08-16,SETTXN0084
CHAIN000085,SET0085,PAY0085,8151,81.51,14.67,8054.82,2026-08-30,SETTXN0085
CHAIN000086,SET0086,PAY0086,2112,21.12,3.80,2087.08,2026-08-04,SETTXN0086
CHAIN000087,SET0087,PAY0087,6059,60.59,10.91,5987.50,2026-08-28,SETTXN0087
CHAIN000088,SET0088,PAY0088,4573,45.73,8.23,4519.04,2026-08-09,SETTXN0088
CHAIN000089,SET0089,PAY0089,9286,92.86,16.71,9176.43,2026-08-17,SETTXN0089
CHAIN000090,SET0090,PAY0090,7412,74.12,13.34,7324.54,2026-08-08,SETTXN0090
CHAIN000091,SET0091,PAY0091,8079,80.79,14.54,7983.67,2026-08-10,SETTXN0091
CHAIN000092,SET0092,PAY0092,7760,77.60,13.97,7668.43,2026-08-31,SETTXN0092
CHAIN000093,SET0093,PAY0093,2104,21.04,3.79,2079.17,2026-08-04,SETTXN0093
CHAIN000094,SET0094,PAY0094,741,7.41,1.33,732.26,2026-08-05,SETTXN0094
CHAIN000095,SET0095,PAY0095,3224,32.24,5.80,3185.96,2026-08-16,SETTXN0095
