exception_type,chain_id,payment_id,settlement_id,bank_transaction_id
DATE_DRIFT,CHAIN000043,PAY0043,SET0043,BTX0043
DATE_DRIFT,CHAIN000042,PAY0042,SET0042,BTX0042
DATE_DRIFT,CHAIN000092,PAY0092,SET0092,BTX0092
DATE_DRIFT,CHAIN000010,PAY0010,SET0010,BTX0010
DATE_DRIFT,CHAIN000066,PAY0066,SET0066,BTX0066
DATE_DRIFT,CHAIN000051,PAY0051,SET0051,BTX0051
DATE_DRIFT,CHAIN000002,PAY0002,SET0002,BTX0002
DATE_DRIFT,CHAIN000071,PAY0071,SET0071,BTX0071
DATE_DRIFT,CHAIN000016,PAY0016,SET0016,BTX0016
DATE_DRIFT,CHAIN000079,PAY0079,SET0079,BTX0079
AMOUNT_MISMATCH,CHAIN000074,PAY0074,SET0074,BTX0074
AMOUNT_MISMATCH,CHAIN000011,PAY0011,SET0011,BTX0011
AMOUNT_MISMATCH,CHAIN000056,PAY0056,SET0056,BTX0056
AMOUNT_MISMATCH,CHAIN000057,PAY0057,SET0057,BTX0057
AMOUNT_MISMATCH,CHAIN000073,PAY0073,SET0073,BTX0073
MISSING_BANK,CHAIN000046,PAY0046,SET0046,BTX0046
MISSING_BANK,CHAIN000049,PAY0049,SET0049,BTX0049
MISSING_BANK,CHAIN000093,PAY0093,SET0093,BTX0093
MISSING_BANK,CHAIN000077,PAY0077,SET0077,BTX0077
MISSING_BANK,CHAIN000038,PAY0038,SET0038,BTX0038
DUPLICATE,CHAIN000031,PAY0031,SET0031,BTX0031
DUPLICATE,CHAIN000022,PAY0022,SET0022,BTX0022
DUPLICATE,CHAIN000033,PAY0033,SET0033,BTX0033
FUZZY_REFERENCE,CHAIN000097,PAY0097,SET0097,BTX0097
FUZZY_REFERENCE,CHAIN000081,PAY0081,SET0081,BTX0081
FUZZY_REFERENCE,CHAIN000050,PAY0050,SET0050,BTX0050
PARTIAL_SETTLEMENT,CHAIN000084,PAY0084,SET0084,BTX0084
PARTIAL_SETTLEMENT,CHAIN000027,PAY0027,SET0027,BTX0027
COMBINED_SETTLEMENT,CHAIN000034,PAY0034,SET0034,BTX0034
COMBINED_SETTLEMENT,CHAIN000088,PAY0088,SET0088,BTX0034
