chain_id,transaction_id,transaction_date,credit_amount,currency,narration,reference
HCHAIN000001,HBTX0001,2026-08-06,2626.64,INR,Settlement for HPAY0001,HSETTXN0001
HCHAIN000002,HBTX0002,2026-08-15,6812.65,INR,Settlement for HPAY0002,HSETTXN0002
HCHAIN000003,HBTX0003,2026-08-08,4947.92,INR,Settlement for HPAY0003,HSETTXN0003
HCHAIN000004,HBTX0004,2026-08-03,8485.67,INR,Settlement for HPAY0004,HSETTXN0004
HCHAIN000005,HBTX0005,2026-08-07,3041.68,INR,Settlement for HPAY0005,HSETTXN0005
HCHAIN000006,HBTX0006,2026-08-06,8207.00,INR,Settlement for HPAY0006,HSETTXN0006
HCHAIN000007,HBTX0007,2026-08-22,2546.59,INR,Settlement for HPAY0007,HSETTXN0007
HCHAIN000008,HBTX0008,2026-08-13,3405.34,INR,Settlement for HPAY0008,HSETTXN0008
HCHAIN000009,HBTX0009,2026-08-25,3268.97,INR,Settlement for HPAY0009,HSETTXN0009
HCHAIN000010,HBTX0010,2026-08-24,9716.97,INR,Settlement for HPAY0010,HSETTXN0010
HCHAIN000011,HBTX0011,2026-08-04,7707.96,INR,Settlement for HPAY0011,HSETTXN0011
HCHAIN000012,HBTX0012,2026-08-03,5941.06,INR,Settlement for HPAY0012,HSETTXN0012
HCHAIN000013,HBTX0013,2026-08-19,3217.58,INR,Settlement for HPAY0013,HSETTXN0013
HCHAIN000014,HBTX0014,2026-08-22,6250.36,INR,Settlement for HPAY0014,HSETTXN0014
HCHAIN000015,HBTX0015,2026-08-13,7029.07,INR,Settlement for HPAY0015,HSETTXN0015
HCHAIN000016,HBTX0016,2026-08-14,3209.67,INR,Settlement for HPAY0016,HSETTXN0016
HCHAIN000017,HBTX0017,2026-08-18,9506.88,INR,Settlement for HPAY0017,HSETTXN0017
HCHAIN000018,HBTX0018,2026-08-05,7627.92,INR,Settlement for HPAY0018,HSETTXN0018
HCHAIN000020,HBTX0020,2026-09-01,3182.00,INR,Settlement for HPAY0020,HSETTXN0020
HCHAIN000021,HBTX0021,2026-08-14,8274.20,INR,Settlement for HPAY0021,HSETTXN0021
HCHAIN000022,HBTX0022,2026-08-26,2137.48,INR,Settlement for HPAY0022,HSETTXN0022
HCHAIN000023,HBTX0023,2026-08-24,7462.89,INR,Settlement for HPAY0023,HSETTXN0023
HCHAIN000024,HBTX0024,2026-08-10,8135.85,INR,Settlement for HPAY0024,HSETTXN0024
HCHAIN000025,HBTX0025,2026-08-06,4121.78,INR,Settlement for HPAY0025,HSETTXN0025
HCHAIN000026,HBTX0026,2026-08-16,7728.71,INR,Settlement for HPAY0026,HSETTXN0026
HCHAIN000027,HBTX0027,2026-08-10,7312.68,INR,Settlement for HPAY0027,HSETTXN0027
HCHAIN000028,HBTX0028,2026-08-25,6402.55,INR,Settlement for HPAY0028,HSETTXN0028
HCHAIN000029,HBTX0029,2026-08-18,9053.89,INR,Settlement for HPAY0029,HSETTXN0029
HCHAIN000030,HBTX0030,2026-08-31,5505.26,INR,Settlement for HPAY0030,HSETTXN0030
HCHAIN000031,HBTX0031,2026-08-09,9096.78,INR,Settlement for HPAY0031,HSETTXN0031
HCHAIN000032,HBTX0032,2026-08-06,7350.23,INR,Settlement for HPAY0032,HSETTXN0032
HCHAIN000033,HBTX0033,2026-08-16,9480.79,INR,Settlement for HPAY0033,HSETTXN0033
HCHAIN000034,HBTX0034,2026-08-09,9841.48,INR,Settlement for HPAY0034,HSETTXN0034
HCHAIN000035,HBTX0035,2026-08-18,7423.36,INR,Settlement for HPAY0035,HSETTXN0035
HCHAIN000036,HBTX0036,2026-08-14,7337.38,INR,Settlement for HPAY0036,HSETTXN0036
HCHAIN000037,HBTX0037,2026-08-28,3122.71,INR,Settlement for HPAY0037,HSETTXN0037
HCHAIN000038,HBTX0038,2026-08-03,8599.32,INR,Settlement for HPAY0038,HSETTXN0038
