chain_id,payment_id,order_id,payment_method,upi_ref,amount,currency,payment_date,status
HCHAIN000001,HPAY0001,HORD0001,NETBANKING,,2658,INR,2026-08-01,SUCCESS
HCHAIN000002,HPAY0002,HORD0002,CARD,,6894,INR,2026-08-13,SUCCESS
HCHAIN000003,HPAY0003,HORD0003,UPI,UPI/RZP/687334986672,5007,INR,2026-08-06,SUCCESS
HCHAIN000004,HPAY0004,HORD0004,CARD,,8587,INR,2026-08-01,SUCCESS
HCHAIN000005,HPAY0005,HORD0005,NETBANKING,,3078,INR,2026-08-05,SUCCESS
HCHAIN000006,HPAY0006,HORD0006,NETBANKING,,8305,INR,2026-08-04,SUCCESS
HCHAIN000007,HPAY0007,HORD0007,UPI,UPI/RZP/949661522882,2577,INR,2026-08-17,SUCCESS
HCHAIN000008,HPAY0008,HORD0008,UPI,UPI/RZP/831843641257,3446,INR,2026-08-11,SUCCESS
HCHAIN000009,HPAY0009,HORD0009,UPI,UPI/RZP/886339784878,3308,INR,2026-08-23,SUCCESS
HCHAIN000010,HPAY0010,HORD0010,NETBANKING,,9833,INR,2026-08-22,SUCCESS
HCHAIN000011,HPAY0011,HORD0011,UPI,UPI/RZP/875239641835,7800,INR,2026-08-02,SUCCESS
HCHAIN000012,HPAY0012,HORD0012,UPI,UPI/RZP/486032151261,6012,INR,2026-08-01,SUCCESS
HCHAIN000013,HPAY0013,HORD0013,UPI,UPI/RZP/976909536113,3256,INR,2026-08-17,SUCCESS
HCHAIN000014,HPAY0014,HORD0014,CARD,,6325,INR,2026-08-20,SUCCESS
HCHAIN000015,HPAY0015,HORD0015,UPI,UPI/RZP/276247660324,7113,INR,2026-08-11,SUCCESS
HCHAIN000016,HPAY0016,HORD0016,CARD,,3248,INR,2026-08-12,SUCCESS
HCHAIN000017,HPAY0017,HORD0017,CARD,,9671,INR,2026-08-16,SUCCESS
HCHAIN000018,HPAY0018,HORD0018,CARD,,7719,INR,2026-08-03,SUCCESS
HCHAIN000019,HPAY0019,HORD0019,NETBANKING,,4704,INR,2026-08-06,SUCCESS
HCHAIN000020,HPAY0020,HORD0020,CARD,,3220,INR,2026-08-30,SUCCESS
HCHAIN000021,HPAY0021,HORD0021,NETBANKING,,8373,INR,2026-08-09,SUCCESS
HCHAIN000022,HPAY0022,HORD0022,NETBANKING,,2163,INR,2026-08-24,SUCCESS
HCHAIN000023,HPAY0023,HORD0023,UPI,UPI/RZP/629481762077,7552,INR,2026-08-22,SUCCESS
