chain_id,settlement_id,payment_id,gross_amount,platform_fee,gst_on_fee,net_amount,settlement_date,settlement_reference
HCHAIN000001,HSET0001,HPAY0001,2658,26.58,4.78,2626.64,2026-08-06,HSETTXN0001
HCHAIN000002,HSET0002,HPAY0002,6894,68.94,12.41,3406.32,2026-08-15,HSETTXN0002
HCHAIN000003,HSET0003,HPAY0003,5007,50.07,9.01,4947.92,2026-08-08,HSETTXN0003
HCHAIN000004,HSET0004,HPAY0004,8587,85.87,15.46,8485.67,2026-08-03,HSETTXN0004
HCHAIN000005,HSET0005,HPAY0005,3078,30.78,5.54,3041.68,2026-08-07,HSETTXN0005X
HCHAIN000006,HSET0006,HPAY0006,8305,83.05,14.95,8207.00,2026-08-06,HSETTXN0006
HCHAIN000007,HSET0007,HPAY0007,2577,25.77,4.64,2546.59,2026-08-22,HSETTXN0007
HCHAIN000008,HSET0008,HPAY0008,3446,34.46,6.20,3405.34,2026-08-13,HSETTXN0008X
HCHAIN000009,HSET0009,HPAY0009,3308,33.08,5.95,3268.97,2026-08-25,HSETTXN0009
HCHAIN000010,HSET0010,HPAY0010,9833,98.33,17.70,9716.97,2026-08-24,HSETTXN0010
HCHAIN000011,HSET0011,HPAY0011,7800,78.00,14.04,7707.96,2026-08-04,HSETTXN0011
HCHAIN000012,HSET0012,HPAY0012,6012,60.12,10.82,5941.06,2026-08-03,HSETTXN0012X
HCHAIN000013,HSET0013,HPAY0013,3256,32.56,5.86,3217.58,2026-08-19,HSETTXN0013
HCHAIN000014,HSET0014,HPAY0014,6325,63.25,11.39,6250.36,2026-08-22,HSETTXN0014
HCHAIN000015,HSET0015,HPAY0015,7113,71.13,12.80,7029.07,2026-08-13,HSETTXN0015
HCHAIN000016,HSET0016,HPAY0016,3248,32.48,5.85,3209.67,2026-08-14,HSETTXN0016
HCHAIN000017,HSET0017,HPAY0017,9671,96.71,17.41,9556.88,2026-08-18,HSETTXN0017
HCHAIN000018,HSET0018,HPAY0018,7719,77.19,13.89,7627.92,2026-08-05,HSETTXN0018
HCHAIN000019,HSET0019,HPAY0019,4704,47.04,8.47,4648.49,2026-08-08,HSETTXN0019
HCHAIN000020,HSET0020,HPAY0020,3220,32.20,5.80,3182.00,2026-09-01,HSETTXN0020
HCHAIN000021,HSET0021,HPAY0021,8373,83.73,15.07,8274.20,2026-08-14,HSETTXN0021
HCHAIN000022,HSET0022,HPAY0022,2163,21.63,3.89,2137.48,2026-08-26,HSETTXN0022
HCHAIN000023,HSET0023,HPAY0023,7552,75.52,13.59,7462.89,2026-08-24,HSETTXN0023
HCHAIN000024,HSET0024,HPAY0024,8233,82.33,14.82,8135.85,2026-08-10,HSETTXN0024
HCHAIN000025,HSET0025,HPAY0025,4171,41.71,7.51,4121.78,2026-08-06,HSETTXN0025
HCHAIN000026,HSET0026,HPAY0026,7821,78.21,14.08,7728.71,2026-08-16,HSETTXN0026
HCHAIN000027,HSET0027,HPAY0027,7400,74.00,13.32,7312.68,2026-08-10,HSETTXN0027
HCHAIN000028,HSET0028,HPAY0028,6479,64.79,11.66,6402.55,2026-08-25,HSETTXN0028
HCHAIN000029,HSET0029,HPAY0029,9162,91.62,16.49,9053.89,2026-08-18,HSETTXN0029
HCHAIN000030,HSET0030,HPAY0030,5571,55.71,10.03,5505.26,2026-08-31,HSETTXN0030
HCHAIN000031,HSET0031,HPAY0031,9256,92.56,16.66,9146.78,2026-08-09,HSETTXN0031
HCHAIN000032,HSET0032,HPAY0032,7438,74.38,13.39,7350.23,2026-08-06,HSETTXN0032
HCHAIN000033,HSET0033,HPAY0033,9594,95.94,17.27,9480.79,2026-08-16,HSETTXN0033
HCHAIN000034,HSET0034,HPAY0034,9959,99.59,17.93,9841.48,2026-08-09,HSETTXN0034
HCHAIN000035,HSET0035,HPAY0035,7512,75.12,13.52,7423.36,2026-08-18,HSETTXN0035
HCHAIN000036,HSET0036,HPAY0036,7425,74.25,13.37,7337.38,2026-08-14,HSETTXN0036
HCHAIN000037,HSET0037,HPAY0037,3160,31.60,5.69,3122.71,2026-08-28,HSETTXN0037
HCHAIN000038,HSET0038,HPAY0038,8702,87.02,15.66,8599.32,2026-08-03,HSETTXN0038
HCHAIN000039,HSET0039,HPAY0039,6709,67.09,12.08,6629.83,2026-08-23,HSETTXN0039
HCHAIN000040,HSET0040,HPAY0040,8437,84.37,15.19,8337.44,2026-08-28,HSETTXN0040
HCHAIN000041,HSET0041,HPAY0041,4147,41.47,7.46,4098.07,2026-08-17,HSETTXN0041
HCHAIN000042,HSET0042,HPAY0042,5360,53.60,9.65,5296.75,2026-08-06,HSETTXN0042
HCHAIN000043,HSET0043,HPAY0043,9451,94.51,17.01,9339.48,2026-08-25,HSETTXN0043
HCHAIN000044,HSET0044,HPAY0044,903,9.03,1.63,892.34,2026-08-03,HSETTXN0044
HCHAIN000045,HSET0045,HPAY0045,1311,13.11,2.36,1295.53,2026-08-19,HSETTXN0045
HCHAIN000046,HSET0046,HPAY0046,2612,26.12,4.70,2581.18,2026-08-12,HSETTXN0046
HCHAIN000047,HSET0047,HPAY0047,5785,57.85,10.41,5716.74,2026-08-14,HSETTXN0047
HCHAIN000048,HSET0048,HPAY0048,5653,56.53,10.18,5586.29,2026-08-06,HSETTXN0048
HCHAIN000049,HSET0049,HPAY0049,8041,80.41,14.47,7946.12,2026-08-17,HSETTXN0049
HCHAIN000050,HSET0050,HPAY0050,761,7.61,1.37,752.02,2026-08-31,HSETTXN0050
HCHAIN000051,HSET0051,HPAY0051,4968,49.68,8.94,4909.38,2026-08-10,HSETTXN0051
HCHAIN000052,HSET0052,HPAY0052,2068,20.68,3.72,2043.60,2026-08-29,HSETTXN0052
HCHAIN000053,HSET0053,HPAY0053,9975,99.75,17.96,9857.29,2026-08-07,HSETTXN0053
HCHAIN000054,HSET0054,HPAY0054,1677,16.77,3.02,1657.21,2026-08-07,HSETTXN0054X
HCHAIN000055,HSET0055,HPAY0055,9899,98.99,17.82,9782.19,2026-08-14,HSETTXN0055
HCHAIN000056,HSET0056,HPAY0056,924,9.24,1.66,913.10,2026-08-26,HSETTXN0056
HCHAIN000057,HSET0057,HPAY0057,3544,35.44,6.38,3502.18,2026-08-11,HSETTXN0057
HCHAIN000058,HSET0058,HPAY0058,3776,37.76,6.80,3731.44,2026-08-25,HSETTXN0058
HCHAIN000059,HSET0059,HPAY0059,3295,32.95,5.93,3256.12,2026-08-09,HSETTXN0059
HCHAIN000060,HSET0060,HPAY0060,9817,98.17,17.67,4850.58,2026-08-17,HSETTXN0060
HCHAIN000061,HSET0061,HPAY0061,2708,27.08,4.87,2676.05,2026-08-30,HSETTXN0061
HCHAIN000062,HSET0062,HPAY0062,2150,21.50,3.87,2124.63,2026-08-30,HSETTXN0062
HCHAIN000063,HSET0063,HPAY0063,4441,44.41,7.99,4388.60,2026-08-31,HSETTXN0063
HCHAIN000064,HSET0064,HPAY0064,8694,86.94,15.65,8591.41,2026-08-15,HSETTXN0064
HCHAIN000065,HSET0065,HPAY0065,5529,55.29,9.95,5463.76,2026-08-31,HSETTXN0065
HCHAIN000066,HSET0066,HPAY0066,7474,74.74,13.45,7385.81,2026-08-08,HSETTXN0066
HCHAIN000067,HSET0067,HPAY0067,2626,26.26,4.73,2595.01,2026-08-03,HSETTXN0067
HCHAIN000068,HSET0068,HPAY0068,1177,11.77,2.12,1163.11,2026-08-13,HSETTXN0068
HCHAIN000069,HSET0069,HPAY0069,9645,96.45,17.36,9531.19,2026-08-15,HSETTXN0069
HCHAIN000070,HSET0070,HPAY0070,2658,26.58,4.78,2626.64,2026-08-07,HSETTXN0070
HCHAIN000071,HSET0071,HPAY0071,7542,75.42,13.58,7453.00,2026-08-24,HSETTXN0071
HCHAIN000072,HSET0072,HPAY0072,4119,41.19,7.41,4070.40,2026-08-14,HSETTXN0072
HCHAIN000073,HSET0073,HPAY0073,2204,22.04,3.97,2177.99,2026-08-12,HSETTXN0073
HCHAIN000074,HSET0074,HPAY0074,4404,44.04,7.93,4352.03,2026-08-30,HSETTXN0074
HCHAIN000075,HSET0075,HPAY0075,5024,50.24,9.04,4964.72,2026-08-24,HSETTXN0075
HCHAIN000076,HSET0076,HPAY0076,1423,14.23,2.56,1406.21,2026-08-26,HSETTXN0076
HCHAIN000077,HSET0077,HPAY0077,7797,77.97,14.03,7705.00,2026-08-29,HSETTXN0077
HCHAIN000078,HSET0078,HPAY0078,8022,80.22,14.44,3963.67,2026-08-16,HSETTXN0078
HCHAIN000079,HSET0079,HPAY0079,5726,57.26,10.31,5658.43,2026-08-05,HSETTXN0079
HCHAIN000080,HSET0080,HPAY0080,2578,25.78,4.64,2547.58,2026-08-23,HSETTXN0080
HCHAIN000081,HSET0081,HPAY0081,4514,45.14,8.13,4460.73,2026-08-10,HSETTXN0081
HCHAIN000082,HSET0082,HPAY0082,588,5.88,1.06,581.06,2026-08-13,HSETTXN0082
HCHAIN000083,HSET0083,HPAY0083,9978,99.78,17.96,9860.26,2026-08-18,HSETTXN0083
HCHAIN000084,HSET0084,HPAY0084,7188,71.88,12.94,7103.18,2026-08-15,HSETTXN0084
HCHAIN000085,HSET0085,HPAY0085,9239,92.39,16.63,9129.98,2026-09-03,HSETTXN0085
HCHAIN000086,HSET0086,HPAY0086,9167,91.67,16.50,9058.83,2026-08-04,HSETTXN0086
HCHAIN000087,HSET0087,HPAY0087,7779,77.79,14.00,7687.21,2026-08-24,HSETTXN0087
HCHAIN000088,HSET0088,HPAY0088,8089,80.89,14.56,7993.55,2026-08-31,HSETTXN0088
HCHAIN000089,HSET0089,HPAY0089,1166,11.66,2.10,1152.24,2026-08-30,HSETTXN0089
HCHAIN000090,HSET0090,HPAY0090,8029,80.29,14.45,7934.26,2026-08-09,HSETTXN0090
HCHAIN000091,HSET0091,HPAY0091,4757,47.57,8.56,4700.87,2026-08-11,HSETTXN0091
HCHAIN000092,HSET0092,HPAY0092,7656,76.56,13.78,7565.66,2026-08-16,HSETTXN0092
HCHAIN000093,HSET0093,HPAY0093,8732,87.32,15.72,8628.96,2026-08-03,HSETTXN0093
HCHAIN000094,HSET0094,HPAY0094,4977,49.77,8.96,4918.27,2026-08-16,HSETTXN0094
HCHAIN000095,HSET0095,HPAY0095,9987,99.87,17.98,9869.15,2026-08-21,HSETTXN0095
HCHAIN000096,HSET0096,HPAY0096,872,8.72,1.57,861.71,2026-08-16,HSETTXN0096
HCHAIN000097,HSET0097,HPAY0097,4605,46.05,8.29,4550.66,2026-08-11,HSETTXN0097
HCHAIN000098,HSET0098,HPAY0098,6545,65.45,11.78,6467.77,2026-08-17,HSETTXN0098
HCHAIN000099,HSET0099,HPAY0099,1366,13.66,2.46,1349.88,2026-08-13,HSETTXN0099
HCHAIN000100,HSET0100,HPAY0100,6610,66.10,11.90,6532.00,2026-08-18,HSETTXN0100
HCHAIN000101,HSET0101,HPAY0101,2766,27.66,4.98,2733.36,2026-08-11,HSETTXN0101
HCHAIN000102,HSET0102,HPAY0102,4889,48.89,8.80,4831.31,2026-08-21,HSETTXN0102
HCHAIN000103,HSET0103,HPAY0103,7862,78.62,14.15,7769.23,2026-08-06,HSETTXN0103
HCHAIN000104,HSET0104,HPAY0104,5068,50.68,9.12,5008.20,2026-08-21,HSETTXN0104
HCHAIN000105,HSET0105,HPAY0105,6687,66.87,12.04,6608.09,2026-08-06,HSETTXN0105
HCHAIN000106,HSET0106,HPAY0106,4947,49.47,8.90,4888.63,2026-09-01,HSETTXN0106
HCHAIN000107,HSET0107,HPAY0107,2593,25.93,4.67,2562.40,2026-08-21,HSETTXN0107
HCHAIN000108,HSET0108,HPAY0108,1989,19.89,3.58,1965.53,2026-08-30,HSETTXN0108
HCHAIN000109,HSET0109,HPAY0109,3371,33.71,6.07,3331.22,2026-08-11,HSETTXN0109
HCHAIN000110,HSET0110,HPAY0110,5223,52.23,9.40,5161.37,2026-08-23,HSETTXN0110
HCHAIN000111,HSET0111,HPAY0111,1852,18.52,3.33,1830.15,2026-08-19,HSETTXN0111
HCHAIN000112,HSET0112,HPAY0112,8365,83.65,15.06,8266.29,2026-08-06,HSETTXN0112
HCHAIN000113,HSET0113,HPAY0113,1111,11.11,2.00,1097.89,2026-08-10,HSETTXN0113
HCHAIN000114,HSET0114,HPAY0114,8172,81.72,14.71,8075.57,2026-08-10,HSETTXN0114
HCHAIN000115,HSET0115,HPAY0115,7975,79.75,14.36,7880.89,2026-09-01,HSETTXN0115
HCHAIN000116,HSET0116,HPAY0116,6976,69.76,12.56,6893.68,2026-08-15,HSETTXN0116
HCHAIN000117,HSET0117,HPAY0117,9106,91.06,16.39,8998.55,2026-08-09,HSETTXN0117
HCHAIN000118,HSET0118,HPAY0118,2205,22.05,3.97,2178.98,2026-09-01,HSETTXN0118
HCHAIN000119,HSET0119,HPAY0119,8012,80.12,14.42,7917.46,2026-09-01,HSETTXN0119
HCHAIN000120,HSET0120,HPAY0120,3002,30.02,5.40,2966.58,2026-08-25,HSETTXN0120
HCHAIN000121,HSET0121,HPAY0121,4022,40.22,7.24,3974.54,2026-08-14,HSETTXN0121
HCHAIN000122,HSET0122,HPAY0122,577,5.77,1.04,570.19,2026-08-21,HSETTXN0122
HCHAIN000123,HSET0123,HPAY0123,3577,35.77,6.44,3534.79,2026-08-08,HSETTXN0123
HCHAIN000124,HSET0124,HPAY0124,8387,83.87,15.10,8288.03,2026-08-26,HSETTXN0124
HCHAIN000125,HSET0125,HPAY0125,5881,58.81,10.59,5811.60,2026-08-31,HSETTXN0125
HCHAIN000126,HSET0126,HPAY0126,5646,56.46,10.16,5579.38,2026-08-06,HSETTXN0126
HCHAIN000127,HSET0127,HPAY0127,9400,94.00,16.92,9289.08,2026-08-03,HSETTXN0127
HCHAIN000128,HSET0128,HPAY0128,1905,19.05,3.43,1882.52,2026-08-17,HSETTXN0128
HCHAIN000129,HSET0129,HPAY0129,663,6.63,1.19,655.18,2026-08-22,HSETTXN0129
HCHAIN000130,HSET0130,HPAY0130,7436,74.36,13.38,7348.26,2026-08-14,HSETTXN0130
HCHAIN000131,HSET0131,HPAY0131,972,9.72,1.75,960.53,2026-08-17,HSETTXN0131
HCHAIN000132,HSET0132,HPAY0132,6128,61.28,11.03,6055.69,2026-08-29,HSETTXN0132
HCHAIN000133,HSET0133,HPAY0133,4749,47.49,8.55,4692.96,2026-08-23,HSETTXN0133
HCHAIN000134,HSET0134,HPAY0134,4336,43.36,7.80,4284.84,2026-08-17,HSETTXN0134
HCHAIN000135,HSET0135,HPAY0135,2609,26.09,4.70,2578.21,2026-08-15,HSETTXN0135
HCHAIN000136,HSET0136,HPAY0136,8415,84.15,15.15,8315.70,2026-08-18,HSETTXN0136
HCHAIN000137,HSET0137,HPAY0137,7627,76.27,13.73,7537.00,2026-08-17,HSETTXN0137
HCHAIN000138,HSET0138,HPAY0138,5185,51.85,9.33,5123.82,2026-08-25,HSETTXN0138
HCHAIN000139,HSET0139,HPAY0139,3237,32.37,5.83,3198.80,2026-09-01,HSETTXN0139
HCHAIN000140,HSET0140,HPAY0140,7197,71.97,12.95,7112.08,2026-08-23,HSETTXN0140
HCHAIN000141,HSET0141,HPAY0141,4666,46.66,8.40,4610.94,2026-08-21,HSETTXN0141
HCHAIN000142,HSET0142,HPAY0142,6339,63.39,11.41,6264.20,2026-08-22,HSETTXN0142
HCHAIN000143,HSET0143,HPAY0143,2732,27.32,4.92,2699.76,2026-08-14,HSETTXN0143
HCHAIN000144,HSET0144,HPAY0144,4324,43.24,7.78,4272.98,2026-08-30,HSETTXN0144
HCHAIN000145,HSET0145,HPAY0145,7714,77.14,13.89,7622.97,2026-08-11,HSETTXN0145
HCHAIN000146,HSET0146,HPAY0146,8599,85.99,15.48,8497.53,2026-08-06,HSETTXN0146
HCHAIN000147,HSET0147,HPAY0147,2115,21.15,3.81,2090.04,2026-08-24,HSETTXN0147
HCHAIN000148,HSET0148,HPAY0148,994,9.94,1.79,982.27,2026-08-12,HSETTXN0148
HCHAIN000149,HSET0149,HPAY0149,7049,70.49,12.69,6965.82,2026-08-16,HSETTXN0149
HCHAIN000150,HSET0150,HPAY0150,5618,56.18,10.11,5551.71,2026-08-14,HSETTXN0150
HCHAIN000004,HSET0004_DUP,HPAY0004,8587,85.87,15.46,8485.67,2026-08-03,HSETTXN0004
HCHAIN000110,HSET0110_DUP,HPAY0110,5223,52.23,9.40,5161.37,2026-08-23,HSETTXN0110
HCHAIN000055,HSET0055_DUP,HPAY0055,9899,98.99,17.82,9782.19,2026-08-14,HSETTXN0055
HCHAIN000072,HSET0072_DUP,HPAY0072,4119,41.19,7.41,4070.40,2026-08-14,HSETTXN0072
HCHAIN000060,HSET0060_PART2,HPAY0060,9817,98.17,17.67,4850.58,2026-08-17,HSETTXN0060
HCHAIN000002,HSET0002_PART2,HPAY0002,6894,68.94,12.41,3406.33,2026-08-15,HSETTXN0002
HCHAIN000078,HSET0078_PART2,HPAY0078,8022,80.22,14.44,3963.67,2026-08-16,HSETTXN0078
