payment_id,order_id,payment_date,payment_method,currency,paid_amount,transaction_ref
PAY0001,ORD0001,2026-08-21,UPI,INR,909,TXN0001
PAY0002,ORD0002,2026-08-24,NETBANKING,INR,4512,TXN0002
PAY0003,ORD0003,2026-08-08,CARD,INR,2179,TXN0003
PAY0004,ORD0004,2026-08-22,CARD,INR,1924,TXN0004
PAY0005,ORD0005,2026-08-19,CARD,INR,1020,TXN0005
PAY0006,ORD0006,2026-08-01,UPI,INR,4082,TXN0006
PAY0007,ORD0007,2026-08-08,UPI,INR,934,TXN0007
PAY0008,ORD0008,2026-08-18,CARD,INR,9428,TXN0008
PAY0009,ORD0009,2026-08-14,UPI,INR,7859,TXN0009
PAY0010,ORD0010,2026-08-19,UPI,INR,606,TXN0010
