settlement_id,order_id,settlement_date,currency,settled_amount,settlement_ref
SET0001,ORD0001,2026-08-23,INR,909,SETTXN0001
SET0002,ORD0002,2026-08-26,INR,4512,SETTXN0002
SET0003,ORD0003,2026-08-10,INR,2179,SETTXN0003
SET0004,ORD0004,2026-08-24,INR,1924,SETTXN0004
SET0005,ORD0005,2026-08-21,INR,1020,SETTXN0005
SET0006,ORD0006,2026-08-03,INR,4082,SETTXN0006
SET0007,ORD0007,2026-08-10,INR,934,SETTXN0007
SET0008,ORD0008,2026-08-20,INR,9428,SETTXN0008
SET0009,ORD0009,2026-08-16,INR,7859,SETTXN0009
SET0010,ORD0010,2026-08-21,INR,606,SETTXN0010
